               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10922,            0.032505,            0.026289,             0.52428,            0.099374,            0.098343,            0.037933,            0.092169,            0.032864,             0.02103,            0.070068,           0.0033258,           0.0033258
                   1,            0.099831,            0.033774,            0.020241,             0.40795,             0.19263,             0.14778,            0.058047,            0.087445,            0.032894,            0.018732,            0.040038,           0.0066291,           0.0066291
                   2,            0.096196,            0.034252,            0.018666,              0.4306,             0.17512,             0.15052,            0.056214,            0.087594,            0.033132,            0.018158,           0.0099782,           0.0099025,           0.0099025
                   3,            0.094347,            0.034327,             0.01782,              0.4461,             0.20526,             0.17693,            0.069033,            0.085744,            0.032892,            0.017582,            0.009865,            0.009865,            0.009865
                   4,            0.092794,            0.034017,            0.017146,             0.50918,             0.21072,             0.18475,             0.07697,            0.084465,            0.033788,            0.017051,            0.009865,            0.009865,            0.009865
                   5,            0.091892,            0.034085,            0.016695,              0.4826,             0.21221,             0.19718,             0.08062,             0.08359,            0.033073,            0.016607,             0.00982,             0.00982,             0.00982
                   6,             0.09135,            0.034447,            0.016308,             0.50333,             0.22749,             0.21451,            0.088686,            0.082886,            0.032856,            0.015961,            0.009775,            0.009775,            0.009775
                   7,            0.090729,            0.033916,            0.016094,             0.37995,             0.21893,             0.21315,            0.087469,            0.082926,            0.032898,            0.016054,             0.00973,             0.00973,             0.00973
                   8,            0.090545,            0.033943,             0.01585,             0.37318,             0.23427,             0.22213,            0.092369,            0.082234,            0.032618,            0.015903,            0.009685,            0.009685,            0.009685
                   9,            0.090151,            0.033904,            0.015602,             0.33099,             0.23761,             0.21577,            0.087242,            0.082371,            0.032847,            0.015679,             0.00964,             0.00964,             0.00964
                  10,             0.08976,            0.033982,            0.015463,             0.37211,             0.22963,             0.22273,            0.092978,            0.081751,            0.032974,             0.01562,            0.009595,            0.009595,            0.009595
                  11,             0.08957,            0.033912,            0.015314,             0.36226,             0.24834,              0.2352,            0.099419,            0.081571,            0.032522,             0.01558,             0.00955,             0.00955,             0.00955
                  12,            0.089583,            0.033908,            0.015318,             0.41602,             0.24842,             0.24445,             0.10352,            0.080968,            0.032468,            0.015216,            0.009505,            0.009505,            0.009505
                  13,            0.089317,            0.033753,            0.015151,             0.39557,             0.24347,             0.24212,             0.10351,             0.08086,            0.032132,            0.015264,             0.00946,             0.00946,             0.00946
                  14,            0.088965,            0.033719,            0.015031,             0.39264,             0.24614,             0.23969,             0.10189,             0.08076,            0.032292,            0.015192,            0.009415,            0.009415,            0.009415
