               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097939,             0.91529,             0.10093,             0.93114,            0.024569,            0.019671,           0.0065798,            0.086483,             0.90311,            0.095985,            0.070068,           0.0033258,           0.0033258
                   1,            0.091541,             0.90331,            0.096374,             0.55547,            0.023071,            0.023953,           0.0086406,            0.085215,             0.90289,            0.095662,            0.040038,           0.0066291,           0.0066291
                   2,            0.090621,             0.90302,            0.096199,             0.35056,            0.019886,            0.025162,           0.0097238,            0.086375,             0.90273,            0.095547,           0.0099782,           0.0099025,           0.0099025
                   3,            0.090114,             0.90294,            0.096111,             0.31706,            0.020685,             0.02046,           0.0095338,            0.083719,               0.903,            0.095346,            0.009865,            0.009865,            0.009865
                   4,            0.089534,             0.90289,            0.095979,             0.30756,            0.017522,            0.019095,           0.0090359,            0.083716,             0.90318,            0.095436,            0.009865,            0.009865,            0.009865
