               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.055838,            0.028402,            0.011134,             0.51045,              0.3104,             0.31693,              0.1486,            0.051457,            0.028467,            0.011095,             0.00838,             0.00838,             0.00838
                  38,            0.055855,            0.028363,            0.011059,             0.50399,             0.31263,             0.31772,             0.14872,            0.051468,            0.028454,            0.011094,            0.008335,            0.008335,            0.008335
                  39,            0.055746,            0.028371,            0.011059,             0.50451,             0.31224,             0.31781,             0.14885,            0.051446,            0.028442,            0.011108,             0.00829,             0.00829,             0.00829
                  40,             0.05566,            0.028329,             0.01106,             0.50858,             0.31275,             0.31803,             0.14922,            0.051432,             0.02844,            0.011109,            0.008245,            0.008245,            0.008245
                  41,            0.055523,            0.028406,             0.01099,             0.51673,             0.31082,             0.31803,             0.14949,            0.051426,            0.028437,            0.011108,              0.0082,              0.0082,              0.0082
                  42,            0.055603,            0.028207,            0.010977,             0.51566,             0.31228,             0.31874,             0.14983,            0.051401,            0.028428,            0.011115,            0.008155,            0.008155,            0.008155
                  43,            0.055613,            0.028326,            0.010896,             0.50894,             0.31302,             0.31865,             0.14969,            0.051389,            0.028429,            0.011109,             0.00811,             0.00811,             0.00811
                  44,            0.055644,            0.028505,            0.010966,             0.51215,             0.31402,             0.31967,             0.15002,            0.051377,            0.028423,            0.011109,            0.008065,            0.008065,            0.008065
                  45,            0.055396,             0.02827,            0.010848,             0.51305,              0.3144,             0.31993,             0.15022,            0.051367,            0.028418,             0.01111,             0.00802,             0.00802,             0.00802
                  46,            0.055334,            0.028327,            0.010807,             0.50599,             0.31577,             0.31997,             0.15056,            0.051354,            0.028415,            0.011113,            0.007975,            0.007975,            0.007975
                  47,            0.055521,            0.028422,            0.010869,             0.51238,             0.31429,             0.32013,             0.15076,            0.051336,            0.028408,            0.011113,             0.00793,             0.00793,             0.00793
                  48,            0.055394,            0.028277,            0.010765,             0.51467,             0.31329,             0.31995,             0.15079,            0.051318,            0.028407,            0.011105,            0.007885,            0.007885,            0.007885
                  49,            0.055294,            0.028175,            0.010813,             0.51334,             0.31289,             0.31954,             0.15101,            0.051298,            0.028406,            0.011104,             0.00784,             0.00784,             0.00784
                  50,            0.055117,            0.028158,            0.010594,             0.51639,             0.31322,             0.32026,             0.15123,            0.051272,            0.028404,            0.011094,            0.007795,            0.007795,            0.007795
                  51,            0.055169,            0.028128,            0.010744,             0.51642,             0.31317,             0.32034,             0.15135,            0.051256,            0.028407,            0.011093,             0.00775,             0.00775,             0.00775
                  52,            0.055244,            0.028134,            0.010625,               0.518,             0.31267,             0.32036,             0.15147,             0.05124,            0.028402,             0.01109,            0.007705,            0.007705,            0.007705
                  53,              0.0552,            0.028247,            0.010706,             0.51784,             0.31263,              0.3205,             0.15165,            0.051223,            0.028397,            0.011091,             0.00766,             0.00766,             0.00766
                  54,            0.055069,            0.028195,            0.010601,             0.51988,             0.31282,              0.3208,              0.1519,            0.051206,            0.028393,             0.01109,            0.007615,            0.007615,            0.007615
                  55,            0.054919,            0.028238,            0.010527,             0.51801,             0.31282,             0.32075,             0.15192,            0.051188,            0.028388,            0.011085,             0.00757,             0.00757,             0.00757
                  56,             0.05501,            0.028283,            0.010574,             0.51622,             0.31277,             0.32088,             0.15212,            0.051171,            0.028382,            0.011074,            0.007525,            0.007525,            0.007525
