               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.061618,            0.031276,             0.01159,             0.51786,             0.30781,             0.31981,             0.15118,            0.056192,            0.030355,            0.011914,             0.00838,             0.00838,             0.00838
                  38,            0.061704,            0.031222,            0.011509,             0.51925,             0.30919,             0.32027,             0.15164,            0.056165,            0.030356,            0.011903,            0.008335,            0.008335,            0.008335
                  39,            0.061446,            0.031176,            0.011561,             0.51356,             0.31029,             0.32069,             0.15175,            0.056137,            0.030352,            0.011889,             0.00829,             0.00829,             0.00829
                  40,            0.061436,            0.031244,            0.011535,             0.50856,             0.31208,             0.32115,             0.15225,             0.05612,            0.030352,            0.011897,            0.008245,            0.008245,            0.008245
                  41,            0.061267,            0.031246,            0.011491,               0.504,             0.31314,             0.32167,             0.15245,            0.056103,            0.030353,              0.0119,              0.0082,              0.0082,              0.0082
                  42,            0.061329,            0.031006,            0.011459,             0.51471,             0.31184,             0.32195,             0.15257,            0.056087,             0.03035,            0.011915,            0.008155,            0.008155,            0.008155
                  43,            0.061367,            0.031201,            0.011402,             0.51909,             0.31035,             0.32148,             0.15259,            0.056075,            0.030341,             0.01192,             0.00811,             0.00811,             0.00811
                  44,            0.061343,            0.031372,            0.011397,              0.5183,             0.31124,             0.32213,             0.15283,            0.056061,             0.03034,            0.011917,            0.008065,            0.008065,            0.008065
                  45,            0.061197,            0.031109,            0.011324,             0.52239,             0.30976,             0.32226,             0.15324,            0.056054,            0.030341,            0.011914,             0.00802,             0.00802,             0.00802
                  46,            0.061044,            0.031223,            0.011276,             0.52472,             0.31005,             0.32279,             0.15338,            0.056045,             0.03034,            0.011906,            0.007975,            0.007975,            0.007975
                  47,            0.061325,             0.03125,            0.011375,             0.52097,             0.31006,             0.32272,             0.15365,            0.056034,            0.030338,            0.011902,             0.00793,             0.00793,             0.00793
                  48,            0.061184,            0.031131,            0.011283,             0.51959,             0.31052,             0.32258,             0.15388,            0.056019,            0.030338,            0.011899,            0.007885,            0.007885,            0.007885
                  49,            0.061056,            0.031042,             0.01127,             0.52026,             0.31116,             0.32318,             0.15422,            0.055999,            0.030335,            0.011889,             0.00784,             0.00784,             0.00784
                  50,            0.060892,            0.031061,            0.011181,              0.5199,             0.31207,             0.32343,             0.15414,            0.055986,            0.030336,            0.011878,            0.007795,            0.007795,            0.007795
                  51,            0.060887,            0.030987,            0.011193,             0.51686,             0.31392,             0.32373,              0.1543,             0.05597,            0.030335,            0.011867,             0.00775,             0.00775,             0.00775
                  52,            0.060952,            0.030936,             0.01111,             0.51954,             0.31276,             0.32346,             0.15434,            0.055957,            0.030332,            0.011859,            0.007705,            0.007705,            0.007705
                  53,            0.060895,            0.031066,            0.011149,             0.52149,             0.31351,             0.32414,             0.15446,            0.055936,            0.030326,            0.011853,             0.00766,             0.00766,             0.00766
                  54,            0.060844,            0.031066,            0.011107,             0.52294,             0.31409,             0.32465,             0.15475,            0.055915,            0.030326,            0.011845,            0.007615,            0.007615,            0.007615
                  55,             0.06079,            0.031106,            0.011079,               0.523,             0.31379,             0.32507,             0.15493,            0.055901,            0.030325,            0.011837,             0.00757,             0.00757,             0.00757
                  56,            0.060792,            0.031153,            0.011058,             0.52497,             0.31373,              0.3256,             0.15525,            0.055881,            0.030319,            0.011827,            0.007525,            0.007525,            0.007525
                  57,            0.060554,            0.030779,            0.010993,             0.52564,             0.31424,             0.32618,             0.15553,            0.055862,            0.030314,            0.011816,             0.00748,             0.00748,             0.00748
                  58,            0.060718,            0.030931,            0.011034,             0.52659,             0.31425,             0.32606,             0.15569,            0.055848,            0.030312,            0.011801,            0.007435,            0.007435,            0.007435
                  59,            0.060648,            0.031213,            0.011049,             0.52657,             0.31393,             0.32625,             0.15593,            0.055837,            0.030306,            0.011785,             0.00739,             0.00739,             0.00739
                  60,            0.060703,            0.031088,            0.011034,             0.52783,             0.31343,             0.32682,             0.15627,            0.055828,            0.030296,            0.011766,            0.007345,            0.007345,            0.007345
                  61,            0.060498,            0.030841,            0.010972,             0.52597,              0.3139,             0.32728,             0.15628,            0.055818,            0.030291,            0.011758,              0.0073,              0.0073,              0.0073
                  62,            0.060483,            0.030862,            0.010898,             0.52624,             0.31397,             0.32747,             0.15661,            0.055809,            0.030289,            0.011757,            0.007255,            0.007255,            0.007255
