               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087366,            0.050181,            0.039913,             0.25034,             0.15759,             0.11782,            0.045544,            0.071401,            0.046129,            0.030306,            0.070068,           0.0033258,           0.0033258
                   1,            0.074351,            0.049883,            0.028037,             0.46275,             0.20482,             0.17516,            0.071652,            0.066098,            0.046195,            0.026995,            0.040035,           0.0066261,           0.0066261
                   2,            0.069504,            0.050162,            0.024711,             0.26088,             0.17524,             0.15046,            0.059477,            0.067514,            0.048453,             0.02822,           0.0099693,           0.0098935,           0.0098935
                   3,            0.066269,            0.050033,            0.022661,             0.36884,              0.2305,             0.21339,            0.088339,            0.063217,            0.046533,            0.023653,           0.0098515,           0.0098515,           0.0098515
                   4,            0.064293,            0.049153,            0.021038,             0.41393,             0.23804,             0.23675,             0.10096,            0.061726,            0.045862,            0.022436,           0.0098515,           0.0098515,           0.0098515
                   5,            0.063239,             0.04885,            0.020169,             0.45668,             0.24825,             0.24661,             0.10537,             0.06119,            0.045226,            0.022546,            0.009802,            0.009802,            0.009802
                   6,            0.062589,            0.048467,            0.019466,             0.44602,             0.24676,             0.24336,             0.10862,            0.061575,            0.045588,            0.022498,           0.0097525,           0.0097525,           0.0097525
                   7,            0.061676,            0.048111,            0.018811,             0.45107,             0.27835,             0.26612,              0.1173,            0.060104,            0.044796,            0.022123,            0.009703,            0.009703,            0.009703
                   8,            0.061361,            0.047861,            0.018446,             0.42301,             0.26648,             0.25193,             0.11003,            0.060481,            0.045241,            0.022572,           0.0096535,           0.0096535,           0.0096535
                   9,            0.060985,            0.047965,            0.017901,              0.4383,              0.2684,             0.26664,             0.11734,            0.059852,            0.044657,            0.021872,            0.009604,            0.009604,            0.009604
                  10,            0.060587,            0.047437,            0.017691,             0.47079,             0.27036,             0.26815,             0.11772,             0.05962,            0.044714,            0.022258,           0.0095545,           0.0095545,           0.0095545
                  11,            0.060383,            0.047353,            0.017373,             0.48777,             0.27141,             0.27333,             0.12113,            0.059347,            0.044836,            0.021399,            0.009505,            0.009505,            0.009505
                  12,            0.060113,            0.047537,            0.017073,             0.48222,             0.28431,             0.28595,             0.12857,             0.05872,            0.044109,            0.021018,           0.0094555,           0.0094555,           0.0094555
                  13,            0.059728,             0.04767,            0.016781,              0.4698,             0.28316,             0.28562,              0.1298,             0.05845,            0.044238,            0.021202,            0.009406,            0.009406,            0.009406
                  14,            0.059543,            0.047398,             0.01676,             0.47683,             0.28503,             0.28765,             0.13053,            0.058343,             0.04413,            0.021027,           0.0093565,           0.0093565,           0.0093565
                  15,            0.059426,            0.047026,            0.016542,             0.48566,             0.29109,             0.28832,             0.13092,            0.058356,            0.044142,            0.021359,            0.009307,            0.009307,            0.009307
                  16,            0.059068,            0.046909,            0.016231,             0.48719,             0.28531,             0.29239,             0.13228,             0.05775,            0.043969,            0.021805,           0.0092575,           0.0092575,           0.0092575
                  17,            0.059072,            0.046891,            0.016109,             0.49357,             0.28979,             0.29303,             0.13148,            0.057636,            0.044055,            0.021316,            0.009208,            0.009208,            0.009208
