               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098792,            0.035406,            0.026019,             0.24076,             0.14623,             0.10133,            0.038157,            0.085759,             0.03551,            0.020734,            0.070068,           0.0033258,           0.0033258
                   1,            0.088526,            0.035815,            0.019772,             0.52259,             0.20434,             0.15727,             0.06344,            0.078943,            0.035693,            0.017821,            0.040038,           0.0066291,           0.0066291
                   2,            0.084188,            0.036103,             0.01792,             0.53517,             0.18616,             0.16402,            0.064547,            0.079097,            0.036312,            0.017092,           0.0099782,           0.0099025,           0.0099025
                   3,            0.081981,            0.036046,            0.016942,             0.46893,              0.2115,             0.19116,            0.076904,            0.076534,            0.036881,             0.01623,            0.009865,            0.009865,            0.009865
                   4,            0.080444,            0.035613,            0.016191,             0.50892,             0.21841,              0.2099,            0.090035,            0.075126,            0.035494,            0.015853,            0.009865,            0.009865,            0.009865
                   5,            0.079489,            0.035704,            0.015647,             0.37004,              0.2368,             0.21903,            0.094052,            0.075073,            0.035422,            0.015585,             0.00982,             0.00982,             0.00982
                   6,            0.078865,            0.035866,            0.015249,             0.44374,             0.24768,             0.24342,             0.10228,            0.074268,            0.035613,            0.014829,            0.009775,            0.009775,            0.009775
                   7,            0.078239,             0.03535,            0.015008,              0.3849,              0.2351,             0.23031,            0.096558,            0.074034,            0.035224,            0.015136,             0.00973,             0.00973,             0.00973
                   8,             0.07803,            0.035357,            0.014736,             0.39375,              0.2473,             0.24061,              0.1027,            0.074298,            0.035355,             0.01503,            0.009685,            0.009685,            0.009685
                   9,            0.077639,            0.035217,            0.014507,             0.40821,             0.26257,             0.25697,             0.11059,             0.07309,             0.03476,            0.014446,             0.00964,             0.00964,             0.00964
                  10,             0.07726,            0.035283,            0.014392,             0.42995,             0.24474,             0.24923,             0.10688,            0.072704,            0.035345,            0.014442,            0.009595,            0.009595,            0.009595
                  11,            0.077051,            0.035218,            0.014233,             0.40845,             0.27001,             0.25869,             0.11234,            0.072478,            0.034991,            0.014494,             0.00955,             0.00955,             0.00955
                  12,            0.076978,            0.035121,            0.014236,             0.45005,             0.26689,             0.26798,             0.11967,            0.071887,            0.034745,            0.014045,            0.009505,            0.009505,            0.009505
                  13,            0.076703,            0.034972,            0.014029,             0.44445,             0.27188,              0.2723,              0.1199,            0.071727,            0.034563,            0.013978,             0.00946,             0.00946,             0.00946
                  14,            0.076415,            0.034977,            0.013937,             0.44179,              0.2691,             0.27274,             0.12222,            0.071919,             0.03467,             0.01419,            0.009415,            0.009415,            0.009415
                  15,            0.076318,             0.03514,            0.013847,             0.44662,             0.27223,              0.2715,             0.12003,             0.07142,            0.034545,            0.014018,             0.00937,             0.00937,             0.00937
                  16,             0.07626,            0.034889,            0.013743,              0.4492,              0.2875,             0.28092,             0.12497,            0.071369,            0.034472,            0.014018,            0.009325,            0.009325,            0.009325
                  17,            0.075875,            0.034789,            0.013578,             0.45246,             0.27722,             0.28279,             0.12724,            0.071159,            0.034561,            0.013906,             0.00928,             0.00928,             0.00928
